Register Name;Register Address;Register Offset;Mask Name;Bits;RW;Default;Description
DEVICE_ID;0x00;0x0;DEVICE_ID;2 to 0;R;100;"Loaded from fuses
000 — Devices with ""00"" at the end of the part number, such as ""PF1500""
001 — Future use 010 — Future use 011 — Future use
100 — Devices with ""50"" at the end of the part number, such as ""PF1550""
101 — Future use 110 — Future use 111 — Future use"
DEVICE_ID;0x00;0x0;FAMILY;7 to 3;R;1111;"Identifies PMIC
01111 — 0b0_1111 for ""15"" used to denote the ""PF1550"""
OTP_FLAVOR;0x01;0x0;UNUSED;7 to 0;R;0x00;"Blown by ATE to indicate flavor of OTP used
0x00 — OTP not burned
0x01 — A1
0x02 — A2
0x03 — A3
continues..."
SILICON_REV;0x02;0x0;METAL_LAYER_REV;2 to 0;R;1;Unused
SILICON_REV;0x02;0x0;FULL_LAYER_REV;5 to 3;R;10;Unused
SILICON_REV;0x02;0x0;FAB_FIN;7 to 6;R;0;Unused
INT_CATEGORY;0x06;0x0;CHG_INT;0;R;0;"This bit is set high if any of the charger interrupt status bits are set
0 — No charger interrupt bit is set, cleared, or did not occur
1 — ""OR"" function of all charger interrupt status bit"
INT_CATEGORY;0x06;0x0;SW1_INT;1;R;0;"This bit is set high if any of the Buck 1 interrupt status bits are set
0 — SW1 interrupts cleared or did not occur
1 — Any of the SW1 interrupt status bits are set"
INT_CATEGORY;0x06;0x0;SW2_INT;2;R;0;"This bit is set high if any of the Buck 2 interrupt status bits are set
0 — SW2 interrupts cleared or did not occur
1 — Any of the SW2 interrupt status bits are set"
INT_CATEGORY;0x06;0x0;SW3_INT;3;R;0;"This bit is set high if any of the Buck 3 interrupt status bits are set
0 — SW3 interrupts cleared or did not occur
1 — any of the SW3 interrupt status bits are set"
INT_CATEGORY;0x06;0x0;LDO_INT;4;R;0;"This bit is set high if any of the LDO interrupt status bits are set. This includes LDO1, LDO2, and LDO3.
0 — LDO interrupts cleared or did not occur
1 — Any of the LDO interrupt status bits are set"
INT_CATEGORY;0x06;0x0;ONKEY_INT;5;R;0;"This bit is set high if any of the interrupts associated with ONKEY push-button are set.
0 — ONKEY related interrupts cleared or did not occur
1 — Any of the ONKEY interrupt status bits are set"
INT_CATEGORY;0x06;0x0;TEMP_INT;6;R;0;"This bit is set if any of the interrupts associated with the die temperature monitor are set
0 — PMIC junction temperature related interrupts cleared or did not occur
1 — any of the PMIC junction temperature interrupts status bits are set"
